,title,price,units_sold,uses_ad_boosts,rating,rating_count,rating_five_count,rating_four_count,rating_three_count,rating_two_count,rating_one_count,badges_count,badge_local_product,badge_product_quality,badge_fast_shipping,tags,product_color,product_variation_inventory,shipping_option_name,shipping_option_price,shipping_is_express,countries_shipped_to,origin_country,merchant_rating_count,merchant_rating,merchant_id,merchant_has_profile_picture,product_url,product_id
0,2020 Summer Vintage Flamingo Print  Pajamas Set Casual Loose T Shirt Top And Elastic Shorts Women Sleepwear Night Wear Loungewear Sets,16.0,100,0,3.76,54,26.0,8.0,10.0,1.0,9.0,0,0,0,0,"Summer,Fashion,womenunderwearsuit,printedpajamasset,womencasualshort,Women's Fashion,flamingo,loungewearset,Casual,Shirt,casualsleepwear,Shorts,flamingotshirt,Elastic,Vintage,Tops,tshirtandshortsset,Women,Sleepwear,Print,womenpajamasset,womennightwear,Pajamas,womensleepwearset",white,50,Livraison standard,4,0,34,CN,568,4.128521126760563,595097d6a26f6e070cb878d1,0,https://www.wish.com/c/5e9ae51d43d6a96e303acdb0,5e9ae51d43d6a96e303acdb0
1,Women's Casual Summer Sleeveless Sexy Mini Dress,8.0,20000,1,3.45,6135,2269.0,1027.0,1118.0,644.0,1077.0,0,0,0,0,"Mini,womens dresses,Summer,Patchwork,fashion dress,Dress,Mini dress,Women's Fashion,Women S Clothing,backless,party,summer dresses,sleeveless,sexy,Casual",green,50,Livraison standard,2,0,41,CN,17752,3.8996732762505633,56458aa03a698c35c9050988,0,https://www.wish.com/c/58940d436a0d3d5da4e95a38,58940d436a0d3d5da4e95a38
2,2020 New Arrival Women Spring and Summer Beach Wear Long Thin Cardigan Open Front Kimono Green Leaf Printed Chiffon Cardigan S-5XL,8.0,100,0,3.57,14,5.0,4.0,2.0,0.0,3.0,0,0,0,0,"Summer,cardigan,women beachwear,chiffon,Sexy women,Coat,summercardigan,openfront,short sleeves,Swimsuit,Women's Fashion,leaf,Green,printed,Spring,longcardigan,Women,Beach,kimono",leopardprint,1,Livraison standard,3,0,36,CN,295,3.989830508474576,5d464a1ffdf7bc44ee933c65,0,https://www.wish.com/c/5ea10e2c617580260d55310a,5ea10e2c617580260d55310a
3,Hot Summer Cool T Shirt for Women Fashion Tops Bee Printed Letters Short Sleeve O Neck Cotton T-shirts Tops Tee Clothing,8.0,5000,1,4.03,579,295.0,119.0,87.0,42.0,36.0,0,0,0,0,"Summer,Shorts,Cotton,Cotton T Shirt,Sleeve,printedletterstop,Clothing,Tops,Necks,short sleeves,Women's Fashion,Women Clothing,printed,Women,tshirtforwomen,Fashion,T Shirts,Shirt",black,50,Livraison standard,2,0,41,CN,23832,4.020434709634105,58cfdefdacb37b556efdff7c,0,https://www.wish.com/c/5cedf17ad1d44c52c59e4aca,5cedf17ad1d44c52c59e4aca
4,Women Summer Shorts Lace Up Elastic Waistband Loose Thin Casual Pants Plus Size S-8XL,2.72,100,1,3.1,20,6.0,4.0,2.0,2.0,6.0,0,0,0,0,"Summer,Plus Size,Lace,Casual pants,Bottom,pants,Loose,Women's Fashion,Shorts,Lace Up,Elastic,Casual,Women",yellow,1,Livraison standard,1,0,35,CN,14482,4.001588178428394,5ab3b592c3911a095ad5dadb,0,https://www.wish.com/c/5ebf5819ebac372b070b0e70,5ebf5819ebac372b070b0e70
5,Plus Size Summer Women Casual Sleeveless Rompers Jumpsuits Solid Color Suspender Ttrousers Loose Overalls,3.92,10,0,5.0,1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,"Deep V-Neck,Summer,Plus Size,Spaghetti Strap,Overalls,Women's Fashion,sleeveless,Women,Casual,jumpsuit",navyblue,1,Livraison standard,1,0,40,CN,65,3.507692307692308,5e4b9c3801ba9d210036fc5a,0,https://www.wish.com/c/5ec645bafd107a02279c8c54,5ec645bafd107a02279c8c54
6,Women Fashion Loose Lace Blouse V Neck Bat Sleeves T Shirt Hollow Out Tops Plus Size XS-8XL,7.0,50000,0,3.84,6742,3172.0,1352.0,971.0,490.0,757.0,0,0,0,0,"blouse,Women,lace t shirt,summer t-shirts,Lace,Sleeve,Women Blouse,loose shirt,Short Sleeve Blouses,Pure Color,Womens Blouse,Bat,lace shirts,Necks,Women's Fashion,Plus Size,loose t-shirt,Short Sleeve T-Shirt,Fashion,Tops,Shirt",white,50,Livraison standard,2,0,31,CN,10194,4.076515597410241,5652f4053a698c76dc9a3f37,1,https://www.wish.com/c/5c63a337d5e2ce4bbb3152cf,5c63a337d5e2ce4bbb3152cf
7,Women's Baggy Tunic Dress Summer Dress Denim Dress Denim Shirt Dress Shift Dress,12.0,1000,0,3.76,286,120.0,56.0,61.0,18.0,31.0,0,0,0,0,"Jeans,Fashion,tunic,Shirt,Summer,Dress,Denim,summer dress,denimjeansdres,short sleeves,casual dresses,Women's Fashion,Tunic dress,minishirtdres,Lines,mididre",blue,50,Livraison standard,3,0,139,CN,342,3.681286549707602,5d45349676befe65691dcfbb,0,https://www.wish.com/c/5e0ae5ebc2efb76ccf0a3391,5e0ae5ebc2efb76ccf0a3391
8,Women's Summer Casual Dress Fashion Short Sleeve Slim Dress,11.0,100,1,3.47,15,6.0,2.0,3.0,1.0,3.0,0,0,0,0,"slim dress,summer dress,womenshortsleevedre,Sleeve,Summer,Dress,slim,short sleeves,Women's Fashion,Shorts,boho dress,slimfitdre,Fashion,Casual",black,50,Livraison standard,2,0,36,CN,330,3.803030303030303,5d42980e8388970d32294ddc,0,https://www.wish.com/c/5e6f1fb7fe4a5bb4b8bf36e5,5e6f1fb7fe4a5bb4b8bf36e5
9,Summer Women Plus Size Casual Loose V Neck Short Sleeve Floral Printed Blouse Tops,5.78,5000,0,3.6,687,287.0,128.0,92.0,68.0,112.0,0,0,0,0,"blouse,Summer,Plus Size,Floral print,Necks,Sleeve,summer shirt,Loose,short sleeves,Casual,T Shirts,Shorts,Fashion,Floral,Women,Women's Fashion,Tops,printed",beige,50,Livraison standard,2,0,33,CN,5534,3.999819298879653,5ba2251b4315d12ebce873fa,0,https://www.wish.com/c/5ccfaf238a8d535cec2dfb47,5ccfaf238a8d535cec2dfb47
